iter	Passed	Remaining
0	51	51450
1	53	26785
2	55	18519
3	57	14409
4	60	11955
5	63	10480
6	68	9729
7	71	8853
8	73	8109
9	75	7497
10	77	6998
11	79	6580
12	81	6223
13	84	5921
14	85	5646
15	87	5400
16	89	5203
17	91	5010
18	93	4835
19	95	4677
20	97	4536
21	99	4408
22	101	4293
23	102	4187
24	104	4085
25	106	4000
26	108	3921
27	110	3848
28	112	3778
29	114	3711
30	116	3656
31	120	3630
32	122	3577
33	124	3529
34	126	3487
35	128	3443
36	130	3398
37	132	3358
38	135	3327
39	137	3295
40	139	3257
41	141	3227
42	143	3198
43	148	3229
44	150	3200
45	152	3166
46	154	3138
47	156	3108
48	158	3082
49	161	3065
50	163	3048
51	165	3022
52	167	2998
53	169	2976
54	173	2986
55	176	2973
56	178	2952
57	181	2941
58	183	2923
59	185	2902
60	187	2879
61	188	2857
62	190	2838
63	193	2832
64	196	2820
65	198	2804
66	200	2792
67	205	2817
68	209	2821
69	212	2825
70	214	2810
71	216	2795
72	218	2780
73	220	2764
74	222	2749
75	225	2736
76	227	2723
77	229	2716
78	231	2704
79	234	2691
80	236	2682
81	238	2670
82	239	2646
83	241	2635
84	244	2634
85	247	2625
86	249	2615
87	251	2603
88	253	2592
89	255	2581
90	257	2567
91	259	2556
92	262	2555
93	265	2560
94	267	2549
95	269	2539
96	272	2533
97	274	2529
98	276	2517
99	278	2508
100	280	2500
101	283	2494
102	285	2486
103	287	2477
104	289	2469
105	292	2463
106	295	2462
107	297	2458
108	300	2457
109	302	2449
110	305	2443
111	307	2435
112	309	2427
113	311	2421
114	313	2415
115	316	2412
116	319	2409
117	323	2415
118	325	2407
119	327	2400
120	329	2393
121	331	2382
122	333	2375
123	335	2367
124	337	2362
125	340	2363
126	343	2361
127	347	2365
128	350	2366
129	352	2360
130	355	2355
131	357	2349
132	359	2344
133	361	2338
134	364	2332
135	366	2330
136	369	2324
137	371	2318
138	373	2312
139	375	2305
140	378	2306
141	379	2295
142	384	2302
143	386	2295
144	388	2293
145	392	2297
146	396	2300
147	398	2294
148	400	2289
149	403	2284
150	405	2277
151	407	2271
152	410	2269
153	411	2262
154	413	2254
155	415	2249
156	418	2246
157	420	2240
158	423	2240
159	425	2234
160	427	2225
161	429	2219
162	431	2213
163	433	2207
164	435	2203
165	437	2198
166	439	2194
167	441	2188
168	443	2183
169	446	2177
170	447	2171
171	449	2165
172	451	2159
173	453	2154
174	456	2150
175	460	2153
176	464	2160
177	467	2156
178	469	2151
179	472	2154
180	475	2150
181	478	2149
182	480	2145
183	483	2143
184	485	2139
185	487	2132
186	489	2126
187	491	2121
188	493	2116
189	495	2111
190	498	2109
191	499	2104
192	502	2099
193	505	2102
194	509	2101
195	511	2099
196	513	2094
197	516	2091
198	518	2086
199	520	2082
200	522	2077
201	524	2070
202	526	2066
203	528	2061
204	531	2059
205	534	2059
206	537	2057
207	539	2052
208	541	2048
209	543	2043
210	545	2038
211	547	2034
212	549	2030
213	551	2026
214	554	2023
215	557	2024
216	559	2020
217	561	2015
218	563	2010
219	565	2006
220	567	2001
221	570	1998
222	572	1994
223	574	1990
224	576	1986
225	581	1990
226	583	1986
227	585	1982
228	587	1977
229	589	1973
230	591	1968
231	593	1963
232	595	1958
233	596	1954
234	599	1950
235	601	1946
236	603	1941
237	605	1937
238	607	1933
239	609	1929
240	611	1927
241	613	1922
242	616	1919
243	618	1914
244	620	1910
245	622	1906
