iter	Passed	Remaining
0	1	119
1	2	109
2	3	104
3	4	97
4	5	102
5	6	105
6	8	106
7	9	106
8	10	106
9	11	106
10	13	111
11	15	115
12	17	118
13	19	120
14	21	122
15	23	122
16	25	122
17	27	123
18	29	123
19	30	123
20	32	123
21	34	122
22	36	122
23	38	121
24	40	120
25	42	119
26	44	119
27	46	118
28	48	117
29	49	116
30	51	115
31	53	114
32	55	112
33	57	111
34	59	110
35	61	110
36	63	108
37	65	107
38	67	105
39	69	104
40	71	102
41	72	99
42	73	97
43	75	96
44	77	94
45	79	93
46	81	91
47	83	90
48	85	88
49	86	86
50	88	85
51	90	83
52	92	82
53	94	80
54	95	78
55	97	76
56	99	74
57	101	73
58	103	71
59	104	69
60	106	68
61	108	66
62	110	64
63	112	63
64	114	61
65	116	59
66	117	58
67	120	56
68	122	54
69	124	53
70	125	51
71	127	49
72	129	47
73	131	46
74	133	44
75	135	42
76	137	41
77	139	39
78	141	37
79	143	35
80	145	34
81	147	32
82	149	30
83	150	28
84	152	26
85	154	25
86	156	23
87	158	21
88	160	19
89	162	18
90	164	16
91	165	14
92	167	12
93	169	10
94	171	9
95	173	7
96	175	5
97	177	3
98	179	1
99	181	0
